geoid,name,total,no_schooling_completed,high_school_graduate,bachelor,master,doctorate
86000US91340,91340,21864,5.131723381,27.17252104,8.228137578,1.815770216,0.118916941
86000US91342,91342,58208,4.578408466,26.2128917,12.99993128,3.331157229,0.32813359
86000US91343,91343,39932,3.355704698,23.95822899,17.34448563,4.187118101,0.568466393
86000US91344,91344,37901,1.955093533,22.9466241,25.19722435,8.403472204,1.414210707
86000US91345,91345,12487,3.876031072,25.91495155,14.23080003,3.739889485,0.128133259
86000US91352,91352,30700,4.762214984,26.63192182,11.9218241,2.602605863,0.456026059
86000US91356,91356,21582,0.986933556,18.3254564,28.94541748,8.622926513,2.010935038
86000US91364,91364,19358,0.831697489,18.72610807,32.67382994,10.75007749,3.249302614
86000US91367,91367,31127,0.54936229,14.40871269,33.9833585,13.38709159,2.521926302
86000US91401,91401,28554,3.813826434,20.80619178,21.01631996,6.10072144,0.970091756
86000US91402,91402,43296,4.046563193,24.70667036,13.66177014,1.990946046,0.140890613
86000US91403,91403,19223,0.244498778,12.07407793,35.62919419,14.65952245,3.230505124
86000US91405,91405,34014,3.795495972,23.26395014,14.19415535,3.883694949,0.5086141
86000US91406,91406,35871,4.006021577,23.02138218,17.07507457,4.460427644,0.571492292
86000US91411,91411,17054,2.802861499,19.06884015,25.36648294,6.256596693,1.219655213
86000US91423,91423,25425,0.656833825,10.58800393,37.38839725,13.00294985,1.966568338
86000US91436,91436,10246,0.087839157,8.130001952,33.07632247,14.61057974,3.455006832
86000US91501,91501,15067,2.276498308,20.60795115,27.55027544,7.98433663,1.845091923
86000US91504,91504,17912,2.1773113,16.94953104,25.94350156,9.56900402,1.289638231
86000US91505,91505,22506,1.275215498,17.49311295,28.53461299,7.597973874,1.066382298
86000US91506,91506,13604,1.484857395,16.29667745,26.03645986,9.034107615,1.058512202
86000US91601,91601,28160,1.498579545,18.44105114,27.16974432,7.428977273,1.097301136
86000US91602,91602,14725,0.319185059,11.97283531,38.74363328,10.06451613,1.84040747
86000US91604,91604,22998,0.234803026,11.20967041,39.77737195,14.07513697,3.265501348
86000US91605,91605,35983,4.352055137,24.18364228,14.67915404,3.421059945,0.464108051
86000US91606,91606,30396,3.470851428,24.56902224,17.59113041,3.408343203,0.434267667
86000US91607,91607,22332,0.394053376,15.05463013,33.00644815,8.028837543,2.024001433
86000US91754,91754,24676,4.409142487,22.85216405,22.01734479,7.865942616,1.588588102
86000US91801,91801,39362,5.779685992,21.7519435,24.27214064,7.817184086,2.06798435
86000US91803,91803,22162,4.38588575,24.663839,18.40537858,6.912733508,0.925006768
86000US93063,93063,38294,0.78602392,22.52833342,22.27503003,5.901707839,0.746853293
